,dim1,dim2,dim3
283,28.163079527352075,28.15826358917783,28.344561996415255
284,28.159848115917175,28.161438638180677,28.35323440268622
285,28.156813243660654,28.164818076669306,28.36204260445687
286,28.15397632019419,28.168400872040134,28.370983212085704
287,28.1513386829142,28.17218591011468,28.380052770036816
288,28.14890159632931,28.176171995254222,28.389247757781494
289,28.146666251410632,28.180357850501217,28.398564590722508
290,28.144633764965118,28.18474211774745,28.407999621140725
291,28.1428051790323,28.189323357928895,28.417549139163864
292,28.141181460304672,28.19410005124728,28.427209373757133
293,28.13976349957183,28.19907059741834,28.436976493735525
294,28.13855211118869,28.204233315946745,28.446846608797443
295,28.137548032567892,28.209586446427565,28.456815770579425
296,28.136751923696604,28.215128148874236,28.466879973731636
297,28.13616436667807,28.220856504072856,28.47703515701383
298,28.135785865297997,28.226769513962786,28.487277204411527
299,28.13561684461587,28.232865102043533,28.497601946272056
300,28.135657650581397,28.23914111380784,28.508005160460126
301,28.135908549676174,28.245595317200866,28.51848257353259
302,28.13636972858073,28.25222540310526,28.529029861932113
303,28.137041293867206,28.25902898585208,28.53964265319936
304,28.137923271717856,28.2660036037574,28.550316527203357
305,28.139015607669382,28.273146719684398,28.561047017389672
306,28.14031816638328,28.28045572163083,28.57182961204602
307,28.141830731442308,28.287927923341815,28.582659755585055
308,28.143553005173167,28.295560564947674,28.593532849843836
309,28.14548460849554,28.30335081362672,28.604444255399734
310,28.14762508079734,28.31129576429281,28.615389292902396
311,28.149973879836345,28.319392440307546,28.626363244421327
312,28.152530381668303,28.327637794216937,28.637361354808743
313,28.15529388060149,28.336028708512316,28.648378833077224
314,28.15826358917783,28.344561996415255,28.6594108537919
315,28.161438638180677,28.35323440268622,28.67045255847664
316,28.164818076669306,28.36204260445687,28.681499057033886
317,28.168400872040134,28.370983212085704,28.692545429177702
318,28.17218591011468,28.380052770036816,28.70358672587966
319,28.176171995254222,28.389247757781494,28.71461797082724
320,28.180357850501217,28.398564590722508,28.725634161894238
321,28.18474211774745,28.407999621140725,28.736630272622772
322,28.189323357928895,28.417549139163864,28.747601253716514
323,28.19410005124728,28.427209373757133,28.758542034544632
324,28.19907059741834,28.436976493735525,28.769447524655952
325,28.204233315946745,28.446846608797443,28.78031261530286
326,28.209586446427565,28.456815770579425,28.791132180974422
327,28.215128148874236,28.466879973731636,28.80190108093845
328,28.220856504072856,28.47703515701383,28.812614160792144
329,28.226769513962786,28.487277204411527,28.82326625402071
330,28.232865102043533,28.497601946272056,28.8338521835635
331,28.23914111380784,28.508005160460126,28.844366763387224
332,28.245595317200866,28.51848257353259,28.85480480006571
333,28.25222540310526,28.529029861932113,28.86516109436577
334,28.25902898585208,28.53964265319936,28.87543044283865
335,28.2660036037574,28.550316527203357,28.885607639416655
336,28.273146719684398,28.561047017389672,28.89568747701453
337,28.28045572163083,28.57182961204602,28.905664749135017
338,28.287927923341815,28.582659755585055,28.915534251478213
339,28.295560564947674,28.593532849843836,28.925290783554132
340,28.30335081362672,28.604444255399734,28.93492915029802
341,28.31129576429281,28.615389292902396,28.944444163688097
342,28.319392440307546,28.626363244421327,28.95383064436511
343,28.327637794216937,28.637361354808743,28.96308342325327
344,28.336028708512316,28.648378833077224,28.972197343181953
345,28.344561996415255,28.6594108537919,28.981167260507856
346,28.35323440268622,28.67045255847664,28.98998804673704
347,28.36204260445687,28.681499057033886,28.99865459014639
348,28.370983212085704,28.692545429177702,29.007161797403917
349,28.380052770036816,28.70358672587966,29.01550459518742
350,28.389247757781494,28.71461797082724,29.02367793180106
351,28.398564590722508,28.725634161894238,29.03167677878918
352,28.407999621140725,28.736630272622772,29.03949613254689
353,28.417549139163864,28.747601253716514,29.047131015927086
354,28.427209373757133,28.758542034544632,29.054576479843345
355,28.436976493735525,28.769447524655952,29.061827604868213
356,28.446846608797443,28.78031261530286,29.068879502826377
357,28.456815770579425,28.791132180974422,29.075727318382196
358,28.466879973731636,28.80190108093845,29.082366230621183
359,28.47703515701383,28.812614160792144,29.088791454624918
360,28.487277204411527,28.82326625402071,29.09499824303894
361,28.497601946272056,28.8338521835635,29.100981887632994
362,28.508005160460126,28.844366763387224,29.10673772085319
363,28.51848257353259,28.85480480006571,29.11226111736562
364,28.529029861932113,28.86516109436577,29.11754749559093
365,28.53964265319936,28.87543044283865,29.122592319229316
366,28.550316527203357,28.885607639416655,29.12739109877557
367,28.561047017389672,28.89568747701453,29.13193939302358
368,28.57182961204602,28.905664749135017,29.136232810559985
