,NINO_CESM2_10
1537,26.4602
1538,26.5354
1539,26.5655
1540,26.561
1541,26.5251
1542,26.4858
1543,26.4405
1544,26.4004
1545,26.4019
1546,26.3996
1547,26.4008
1548,26.3952
1549,26.3757
1550,26.3638
1551,26.3665
1552,26.4019
1553,26.4249
1554,26.4496
1555,26.4765
1556,26.5123
1557,26.5627
1558,26.6438
1559,26.7203
1560,26.7686
1561,26.7666
1562,26.7644
1563,26.7681
1564,26.7778
1565,26.8049
1566,26.82
1567,26.823
1568,26.8214
1569,26.831
1570,26.8679
1571,26.9166
1572,26.9422
1573,26.9421
1574,26.9021
1575,26.8461
1576,26.8008
1577,26.7462
1578,26.7009
1579,26.6762
1580,26.6774
1581,26.686
1582,26.7005
1583,26.7418
1584,26.8157
1585,26.8581
1586,26.8936
1587,26.9312
1588,26.9287
1589,26.9315
1590,26.9722
1591,27.0426
1592,27.1135
1593,27.1471
1594,27.1662
1595,27.1803
1596,27.1926
1597,27.2189
1598,27.2332
1599,27.2133
1600,27.2031
1601,27.2027
1602,27.1863
1603,27.1714
1604,27.1706
1605,27.1668
1606,27.1579
1607,27.1515
1608,27.1624
1609,27.1907
1610,27.2087
1611,27.2233
1612,27.24
1613,27.2474
1614,27.2398
1615,27.2392
1616,27.2584
1617,27.2682
1618,27.2947
1619,27.3265
1620,27.3385
1621,27.3389
1622,27.3256
1623,27.3195
1624,27.3164
1625,27.2857
1626,27.2528
1627,27.2291
1628,27.1917
1629,27.1722
1630,27.1457
1631,27.1108
1632,27.088
1633,27.0596
1634,27.0304
1635,27.0315
1636,27.0529
1637,27.0606
1638,27.0605
1639,27.0617
1640,27.0635
1641,27.0585
1642,27.0499
1643,27.0509
1644,27.067
1645,27.0741
1646,27.0651
1647,27.0722
1648,27.0681
1649,27.072
1650,27.0637
1651,27.054
1652,27.0532
1653,27.0492
1654,27.0384
1655,27.0347
1656,27.0485
1657,27.0623
1658,27.0649
1659,27.0583
1660,27.0392
1661,27.0129
1662,26.9851
1663,26.9657
1664,26.9455
1665,26.9315
1666,26.8961
1667,26.8712
1668,26.8425
1669,26.8253
1670,26.8059
1671,26.8028
1672,26.8163
1673,26.8227
1674,26.8057
1675,26.7607
1676,26.7129
1677,26.667
1678,26.6273
1679,26.5875
1680,26.5461
1681,26.52
1682,26.5096
1683,26.5117
1684,26.5025
1685,26.4814
1686,26.4483
1687,26.4196
1688,26.3909
1689,26.3468
1690,26.3116
1691,26.3033
1692,26.2663
1693,26.2182
1694,26.1662
1695,26.1145
1696,26.0753
1697,26.0504
1698,26.0502
1699,26.0441
1700,26.0326
1701,26.0119
1702,25.9955
1703,26.0008
1704,26.0351
1705,26.0709
1706,26.0836
1707,26.0907
1708,26.1044
1709,26.0975
1710,26.0605
1711,26.0394
1712,26.032
1713,26.0443
1714,26.0387
1715,26.036
1716,26.0452
1717,26.058
1718,26.0878
1719,26.1048
1720,26.0906
1721,26.0555
1722,26.0308
1723,26.0046
1724,25.991
1725,26.0056
1726,26.0022
1727,25.9907
1728,25.9876
1729,25.9803
1730,25.9957
1731,25.9953
1732,25.9828
1733,25.9728
1734,25.9637
1735,25.9582
1736,25.9734
1737,25.9957
1738,25.987
1739,25.9768
1740,25.9736
1741,25.9675
1742,25.9548
1743,25.9362
1744,25.927
1745,25.9366
1746,25.9424
1747,25.9283
1748,25.9063
1749,25.8963
1750,25.8905
1751,25.9086
1752,25.921
1753,25.8973
1754,25.8609
1755,25.8458
1756,25.836
1757,25.8612
1758,25.9055
1759,25.9465
1760,25.9989
1761,26.0208
1762,26.0361
1763,26.0107
1764,25.9629
1765,25.921
1766,25.9019
1767,25.8817
1768,25.8696
1769,25.8555
1770,25.8578
1771,25.8779
1772,25.9096
1773,25.9526
1774,25.9908
1775,26.0243
1776,26.0177
1777,25.9927
1778,26.0092
1779,26.0623
1780,26.1064
1781,26.1369
1782,26.1882
1783,26.1929
1784,26.1796
1785,26.1778
1786,26.1851
1787,26.216
1788,26.2447
1789,26.2651
1790,26.2919
1791,26.3063
1792,26.3191
1793,26.3116
1794,26.293
1795,26.2854
1796,26.2865
1797,26.2753
1798,26.2461
1799,26.2388
1800,26.2593
1801,26.2738
1802,26.2754
1803,26.2665
1804,26.2711
1805,26.2757
1806,26.2774
1807,26.2664
1808,26.2584
1809,26.2347
1810,26.2218
1811,26.2304
1812,26.2442
1813,26.2823
1814,26.3295
1815,26.3501
1816,26.3554
1817,26.3568
1818,26.3451
1819,26.3313
1820,26.3366
1821,26.3337
1822,26.3211
1823,26.3158
1824,26.323
1825,26.3265
1826,26.3314
1827,26.3308
1828,26.3287
1829,26.31
1830,26.3006
1831,26.2984
1832,26.2754
1833,26.2508
1834,26.2226
1835,26.2105
1836,26.2054
1837,26.2125
1838,26.2316
1839,26.236
1840,26.2451
1841,26.2647
1842,26.277
1843,26.2957
1844,26.3332
1845,26.3915
1846,26.4514
1847,26.4884
1848,26.4981
1849,26.5096
1850,26.5683
1851,26.6377
1852,26.6766
1853,26.6846
1854,26.7148
1855,26.756
1856,26.795
1857,26.8246
1858,26.8288
1859,26.8004
1860,26.7893
1861,26.8151
1862,26.8343
1863,26.8289
1864,26.8314
1865,26.84
1866,26.8736
1867,26.8678
1868,26.8371
1869,26.8527
1870,26.8925
1871,26.9434
1872,26.9783
1873,27.0191
1874,27.0432
1875,27.0455
1876,27.0797
1877,27.1201
1878,27.1535
1879,27.1718
1880,27.1746
1881,27.1894
1882,27.221
1883,27.268
1884,27.2868
1885,27.266
1886,27.2454
1887,27.2168
1888,27.2095
1889,27.2227
1890,27.2553
1891,27.2931
